scope_record_id,asset_id,official_name,current_asset_type,scope_class,working_count_status,extended_data_bearing_count,lifecycle_status,owner,owner_country_countries,developer_country_countries,geographic_data_coverage,sector_scope,first_release_year,current_version,latest_release_date,metadata_access,data_access,open_data_status,source_code_openness,registration,fee,licence_identifier_terms,redistribution_rights,canonical_access_download_url,schema_data_model,formats,software_compatibility,evidence_urls,evidence_as_of,information_status,scope_evidence_note
DBS-0059,LCA-REP-0009,product impact,Platform / repository / network,Digital EPD data repository,Extended count only,Yes,Active beta,product impact team,United States,United States; pilot partners,Current public page reports 17 countries,Construction/materials and expanding product sectors; current records include textiles/apparel examples,Not publicly confirmed,Live beta platform,Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Source EPD/PCR and platform terms apply,Not publicly confirmed,https://productimpact.info/,Not publicly confirmed,Digitized EPD/PCR records and web tables/visualisations,Digital schemas are described in a pilot; public export/API not confirmed,https://productimpact.info/ | https://productimpact.info/case-study/rain-jacket | https://productimpact.info/terms-of-use.pdf,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Data-bearing declaration platform.
DBS-0060,LCA-REP-0010,EPD Australasia EPD Database,Platform / repository / network,Digital EPD programme repository,Extended count only,Yes,Active,EPD Australasia Ltd,New Zealand,Australia; New Zealand,Australia and New Zealand with international declarations,"Construction and a growing range of products including chemicals, food, packaging and rail",2014,Continuously updated EPD database,Current at 2026-08-22,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,EPD and website terms; declaration-level rights vary,Not publicly confirmed,https://epd-australasia.com/epd-search/,Not publicly confirmed,Web records and EPD documents,Not publicly confirmed,https://epd-australasia.com/epd-search/ | https://epd-australasia.com/about-us/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Programme-level EPD database.
DBS-0061,LCA-REP-0011,EPDItaly EPD Database,Platform / repository / network,Digital EPD programme repository,Extended count only,Yes,Active,ICMQ S.p.A. Società Benefit / EPDItaly,Italy,Italy,Italy with international programme activity,Construction and other products covered by programme PCRs,2015,Continuously updated EPD database,Current at 2026-08-22,Public metadata page,Public searchable EPD catalogue and documents,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required to browse published EPDs,No fee for public browsing; publication services are fee-based,EPD/programme-specific terms; declaration rights remain with their owners,Declaration/programme terms apply,https://www.epditaly.it/,Not publicly confirmed,EPD documents; digital export/API not publicly confirmed,Not publicly confirmed,https://www.epditaly.it/ | https://www.epditaly.it/en/contatti/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,Programme-level EPD database.
DBS-0062,LCA-DB-0054,SICV Brasil,Database / dataset,National LCI database,Core working count,Yes,Active national database,Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict/MCTI),Brazil,Brazil,Brazil,"Agriculture, transport, plastics, energy, water and other Brazilian products/processes; more than 200 public inventories",2016,Live soda4LCA node; more than 200 inventories,Platform modernization and content expansion documented in 2025,Public metadata page,Public and free web/download access,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,No registration stated for public downloads,No fee,Public/open-science access stated; exact collection-wide reuse licence not captured,Not publicly confirmed,https://sicv.acv.ibict.br/,ILCD data model,ILCD/XML packages through a soda4LCA node,ILCD-supporting LCA software; exact release pairs not independently tested,https://www.gov.br/ibict/pt-br/central-de-conteudos/noticias/2025/dezembro/cotea-ibict-apresenta-retrospectiva-2025-com-avancos-na-gestao-da-informacao-para-sustentabilidade-e-economia-circular | https://www.gov.br/ibict/pt-br/central-de-conteudos/noticias/2023/maio/sicv-brasil-amplia-sua-base-de-inventarios-do-ciclo-de-vida | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0063,LCA-DB-0055,Chinese Life Cycle Database,Database / dataset,National background LCI database,Core working count,Yes,Active provider database,IKE Environmental Technology / Sichuan University lineage,China,China,China,"Key materials and chemicals, energy carriers, transport and waste management; provider describes it as China's publicly obtainable comprehensive background LCA database",2010,Current CLCD service line,Current public service at 2026-08-22; exact database version not published,Public metadata page,Available through provider LCA platforms; current package route and terms require account/product-level confirmation,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Account/platform use may be required,Free and paid service layers are described; exact CLCD package fee not confirmed,Provider/platform terms; no open-data licence identified,Not publicly confirmed,https://www.ike-global.com/,CLCD native model; current public provider page does not state the schema revision,Not publicly confirmed,eBalance and eFootprint/WebLCA provider ecosystem,https://www.ike-global.com/ | https://v2.efootprint.net/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0064,LCA-DB-0056,Korea National Life Cycle Inventory Database,Database / dataset,National LCI database,Core working count,Yes,Active and under revision/expansion,"Ministry of Climate, Energy and Environment / Korea Environmental Industry & Technology Institute",Republic of Korea,Republic of Korea; government and participating industries,Republic of Korea,National product and process inventories recognized by the Korean government and private-sector contributors,Not publicly confirmed,Current integrated national LCI database,Current public service at 2026-08-22,Public metadata page,Public programme information and EcoSquare access route; non-commercial-use restriction,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,EcoSquare account requirements not tested,No commercial use; fee not publicly confirmed,Korean LCI DB and characterization factors may not be used commercially,Non-commercial restriction; further rights not publicly confirmed,https://www.keiti.re.kr/site/keiti/02/10202100000002023101610.jsp,Not publicly confirmed,Not publicly confirmed,LCA software is used to link upstream/downstream flows; exact software and format pair not published on the reviewed official page,https://www.keiti.re.kr/site/keiti/02/10202100000002023101610.jsp,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0065,LCA-DB-0057,Thai National Life Cycle Inventory Database,Database / dataset,National LCI database,Core working count,Yes,Active national database,National Science and Technology Development Agency (NSTDA) / MTEC-TIIS and national partners,Thailand,"Thailand; government, research and industry partners",Thailand,"Natural gas, oil refining, petrochemicals, electricity, water, transport, agriculture, food, textiles, paper, plastics, construction materials, recycling and waste",2008,Current national database service,Current public service at 2026-08-22,Public metadata page,Public access stated since 2008; current dataset-level route/terms vary,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Not publicly confirmed,No collection-wide open-data licence captured,Not publicly confirmed,https://www.nstda-tiis.or.th/,ILCD data model,ILCD/XML; legacy ThaiLCD management system is also documented,ILCD-supporting software; official sector documentation also references LCA software use without a public version matrix,https://www.nstda.or.th/en/news/news-years-2019/mtec-nstda-and-pollution-control-department-to-promote-green-public-procurement.html | https://www.nstda.or.th/home/knowledge_post/nstda-tiis/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0066,LCA-DB-0058,Malaysia Life Cycle Inventory Database,Database / dataset,National LCI database,Core working count,Yes,Active national database,SIRIM Berhad,Malaysia,Malaysia,Malaysia,"Energy, power, solar, metals, livestock, logistics, palm oil, oil and gas, electricity and other Malaysian industrial systems",2015,Current MYLCID web service,Current public service at 2026-08-22,Public metadata page,Public metadata; complete LCI datasets must be purchased by contacting SIRIM,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Contact/purchase required for complete data,Purchase required for complete LCI datasets,Commercial SIRIM terms,Not publicly confirmed,https://mylcid.sirim.my/,ILCD data model,ILCD/XML,ILCD-supporting LCA software; exact current software-version pair not public,https://mylcid.sirim.my/ | https://www.mosti.gov.my/berita/pengkalan-data-inventori-kitaran-hayat-kebangsaan-my-lcid-dibangunkan-bagi-menilai-kesan-kitaran-hayat-produk-dan-perkhidmatan/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0067,LCA-DB-0059,PeruLCA,Database / dataset,National LCI database,Core working count,Yes,Active/retained national database,Peruvian Life Cycle Network / Pontificia Universidad Católica del Perú and project partners,Peru,Peru; international project contributors,Peru,"Fisheries, aquaculture and other Peruvian products and processes developed through national/SRI projects",2019,Current public website and dataset packages,Official launch 2019-05-23; current public service at 2026-08-22,Public metadata page,Public website and downloadable project datasets,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,No registration stated for the public project files reviewed,No fee stated,ecoinvent Association SRI Open Data License applies to identified project datasets,Subject to SRI Open Data License,https://perulca.com/,ecoSpold2 data model,ecoSpold2/XML and public reports,Software supporting ecoSpold2; exact package/software version pair not tested,https://www.lifecycleinitiative.org/peru-lca-database-launched/ | https://perulca.com/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0068,LCA-DB-0060,CicloData,Database / dataset,Regional/national LCI database,Core working count,Yes,Active public platform,Fundación InnovaCiclos,Chile,Chile; technical collaboration with ecoinvent and Ibict,"Chile, initially the Santiago Metropolitan Region","Construction, commerce, manufacturing, mining, electricity, waste, agriculture and forestry; 49 datasets shown on the current public page",2023 project award; public platform current by 2026,Live public platform; 49 datasets,Current at 2026-08-22,Public metadata page,"Public/open/free description, but registration form is required for download and was not submitted","Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required for download; not performed,No fee stated,Terms page is still under preparation; no operative open-data licence text captured,Not publicly confirmed,https://ciclodata.cl/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://ciclodata.cl/ | https://ciclodata.cl/historia/ | https://ciclodata.cl/terminos-de-uso/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0069,LCA-DB-0061,Quebec Life Cycle Inventory Database,Database / dataset,Subnational LCI database integrated into ecoinvent,Core working count,Yes,Integrated content/database programme,Government of Quebec / CIRAIG,Canada,Canada (Quebec); Switzerland (ecoinvent partnership),Quebec and Canada,"Energy, mines and metals, pulp and paper and additional Quebec sectors; 400+ Quebec-specific datasets reported at launch",2010 project; 2014 launch,Quebec datasets distributed within ecoinvent,Current distribution depends on ecoinvent releases,Public metadata page,Individual entries or the whole database are purchased through ecoinvent,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,ecoinvent account/licence required,Commercial ecoinvent licence,ecoinvent licence,ecoinvent licence restrictions,https://ciraig.org/index.php/project/quebec-life-cycle-inventory-database/,ecoinvent / ecoSpold2 data model,ecoSpold2/XML as identified by the UNEP database helpdesk,Software supporting licensed ecoinvent distributions,https://ciraig.org/index.php/project/quebec-life-cycle-inventory-database/ | https://www.environnement.gouv.qc.ca/infuseur/communique.asp?no=3037 | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0070,LCA-DB-0062,International Aluminium Institute Life Cycle Inventory Data,Database / dataset,Sector LCI dataset family,Core working count,Yes,Active sector dataset family,International Aluminium Institute,United Kingdom; international association,International aluminium producers and IAI,Global and regional,"Bauxite mining, alumina refining, primary aluminium and related production stages; more than 200 sites represented in the 2019 dataset",1998,2019 LCI data v3,Published 2022,Public metadata page,Public report and downloadable data attachments,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,No registration stated for the public attachments,No fee stated,Publication/data terms not explicitly captured,Not publicly confirmed,https://international-aluminium.org/resources/2019-life-cycle-inventory-lci-data-and-environmental-metrics/,Provider spreadsheet inventory and GaBi-based modelling; no public standard exchange schema stated,XLSX/data attachments and PDF report,Spreadsheet use; provider states GaBi background data/model was used,https://international-aluminium.org/resources/2019-life-cycle-inventory-lci-data-and-environmental-metrics/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0071,LCA-DB-0063,Nickel Institute Life Cycle Data,Database / dataset,Sector LCI dataset family,Core working count,Yes,Active sector dataset family,Nickel Institute,International association,International member companies and commissioned LCA practitioners,Participating producer regions worldwide,"Class 1 nickel, ferronickel and nickel sulphate hexahydrate",2000,2024 report / 2021 reference-year datasets,2024 publication,Public metadata page,Latest dataset and executive summary publicly offered; full report available on request,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,No registration stated for public files; contact required for full report,No fee stated,Reuse and redistribution terms not publicly confirmed,Not publicly confirmed,https://nickelinstitute.org/en/sustainability/nickel-life-cycle-management/nickel-life-cycle-data,Not publicly confirmed,Public report/download files; exact machine-readable schema not stated,Nickel Institute states that its data appear in major databases including GaBi and ELCD,https://nickelinstitute.org/en/sustainability/nickel-life-cycle-management/nickel-life-cycle-data,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0072,LCA-DB-0064,International Zinc Association Life Cycle Inventory Data,Database / dataset,Sector LCI dataset family,Core working count,Yes,Active sector dataset family,International Zinc Association,United States; international association,International zinc producers with commissioned LCA experts,Global,"Zinc concentrate, special high-grade zinc and related production/recycling routes",1998,2023 LCA update based on 2021 industry data,2023,Public metadata page,"Public report and data dissemination through ecoinvent, GaBi and EU PEF databases",Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Host-database conditions vary,Public report; host-database fees/terms vary,Host-database and publication-specific terms,Not publicly confirmed,https://www.zinc.org/life-cycle-assessment/,Host-database-specific,Host-database formats; public report,"ecoinvent-, GaBi- and EU PEF-compatible through host distributions",https://www.zinc.org/life-cycle-assessment/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0073,LCA-DB-0065,FEVE Container Glass Life Cycle Inventories,Database / dataset,Sector LCI dataset family,Core working count,Yes,Active sector dataset family,European Container Glass Federation (FEVE),Belgium,Belgium/European member companies; RDC Environment; independent reviewers,European Union,"Container glass for food and beverage applications; three cradle-to-gate inventories for average, 100% recycled and 0% recycled content",2009 study line,2019 production-data LCI set,Independent review completed 2024; current official page at 2026-08-22,Public metadata page,Public methodology/results; full LCI access through a request form,Request/membership-mediated,Not applicable to data rights; related software/code must be assessed separately,Request form required for full LCI,Not publicly confirmed,Use and redistribution terms assigned through the request route,Not publicly confirmed,https://feve.org/glass-industry-positions/life-cycle-assessment/,PEF-methodology inventory; exact exchange schema not stated publicly,Not publicly confirmed,General LCA use stated; exact software/version pair not public,https://feve.org/glass-industry-positions/life-cycle-assessment/ | https://feve.org/new-life-cycle-assessment-proves-industry-success-reducing-environmental-footprint/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0074,LCA-DB-0066,Eurobitume Life Cycle Inventory,Database / dataset,Sector LCI dataset family,Core working count,Yes,Active sector dataset family,Eurobitume,Belgium,European bitumen producers; Sphera; independent reviewer,Europe,Paving-grade and oxidised bitumen from crude production through refinery storage,2020 documented v3 line,LCA 4.0,2024-05-27 public page,Public metadata page,Public report; complete ILCD dataset through a request form,Request/membership-mediated,Not applicable to data rights; related software/code must be assessed separately,Request form required for the complete LCI,Not publicly confirmed,Use terms not publicly confirmed before request,Not publicly confirmed,https://eurobitume.eu/bitumen-life-cycle-assessment/,ILCD data model,ILCD/XML ZIP through request; PDF report,Software supporting ILCD; model built in Sphera LCA for Experts with MLC 2024.1,https://eurobitume.eu/bitumen-life-cycle-assessment/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0075,LCA-DB-0067,CORRIM Forestry and Forest Products LCI,Database / dataset,Sector LCI database/library,Core working count,Yes,Active research/database family,Consortium for Research on Renewable Industrial Materials (CORRIM),United States,United States research institutions and forest-product industry partners,United States and North America,"Forestry, lumber, plywood, OSB, glulam, LVL, I-joists, panels, flooring, resins and other wood products",2001 programme guidelines; reports from 2004/2005,Current library and Federal LCA Commons repository,2025 report/library entries,Public metadata page,Public reports and public Federal LCA Commons repository downloads,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,No registration for public repository downloads,No fee,Federal LCA Commons states public/not restricted; dataset intended-use fields apply,Dataset-specific intended-use terms,https://corrim.org/lcas-on-wood-products-library/,openLCA/Federal LCA Commons data model,JSON-LD for openLCA 1.x and 2.x; reports/PDF,openLCA 1.x/2.x; other JSON-LD consumers require validation,https://corrim.org/lcas-on-wood-products-library/ | https://www.lcacommons.gov/lca-collaboration/CORRIM/Forestry_and_forest_products,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0076,LCA-DB-0068,International Copper Association Life Cycle Inventory Data,Database / dataset,Sector LCI dataset family,Core working count,Yes,Retained sector dataset family,International Copper Association,United States; international association,International member companies and commissioned LCA practitioners,Global; four continents represented in the 2013 reference dataset,Copper concentrate and copper cathode,2013 reference-year dataset,2018 Copper Environmental Profile publication,2018 publication; current public file retained,Public metadata page,Public environmental-profile report with LCI excerpt; full machine-readable dataset route not publicly confirmed,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,No registration for the public report,No fee for public report,Publication rights; standalone dataset rights not confirmed,Not publicly confirmed,https://copperalliance.org/wp-content/uploads/2021/08/ICA-EnvironmentalProfileHESD-201803-FINAL-LOWRES-1.pdf,GaBi-modelled inventory; no public exchange schema stated,PDF report and LCI tables,Provider states GaBi 2014 background databases were used,https://copperalliance.org/wp-content/uploads/2021/08/ICA-EnvironmentalProfileHESD-201803-FINAL-LOWRES-1.pdf,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
DBS-0077,LCA-DB-0069,GEMIS Model and Database,Database / dataset,Integrated LCI model/database,Core working count,Yes,Active integrated model/database,International Institute for Sustainability Analysis and Strategy (IINAS),Germany,Germany; international model/database contributors,"Global with country/region-specific energy, material and transport systems","Energy, materials, transport, emissions, costs and employment effects",1987,GEMIS 5.2,2026-07,Public metadata page,Free public download and web access through related ProBas routes,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,No registration required; optional email registration for update notices,No fee,Creative Commons terms stated by IINAS; exact CC variant should be captured from the package,Subject to the package's Creative Commons terms,https://iinas.org/downloads/gemis-downloads/,Native GEMIS relational/process-chain model,Downloadable GEMIS package/ZIP; PDF and Excel export routes,Native GEMIS software; data may be viewed/exported through GEMIS and related ProBas web routes,https://iinas.org/downloads/gemis-downloads/ | https://iinas.org/en/work/gemis/,2026-08-22,Targeted multilingual/country/sector public-evidence verification completed,"Distinct named national, subnational, integrated-model or sector LCI collection; counted once at family level."
