software_record_id,asset_id,product_name,product_type,primary_function_id,primary_function,functional_capabilities,capabilities_original,unresolved_capability_labels,source_software_class,market_scope_status,owner,developer,operator_maintainer,actor_role_summary,role_assertion_count,unresolved_role_label_count,role_resolution_status,sector_scope,geographic_coverage,standard_associations,standard_association_basis,ecoinvent_directory_status,lifecycle_status,access_model,official_product_url,discovery_source,evidence_urls,confidence_level,classification_basis,reviewed_at
SWR-0067,LCA-SW-0067,EmVide,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation,LCA; PCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Riskoa Ltd,,Riskoa Ltd (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://emvide.com/,WBCSD PACT Network solution directory,https://emvide.com/ ; https://www.carbon-transparency.org/solutions/emvide ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0068,LCA-SW-0068,ESGpedia Nexus,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,ESGpedia Pte Ltd,,ESGpedia Pte Ltd (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://esgpedia.io/platform-nexus,WBCSD PACT Network solution directory,https://esgpedia.io/platform-nexus ; https://www.carbon-transparency.org/solutions/esgpedia ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0069,LCA-SW-0069,Evalue8 Sustainability,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Evalue8 Sustainability Pty Ltd,,Evalue8 Sustainability Pty Ltd (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://evalue8.net/,WBCSD PACT Network solution directory,https://evalue8.net/ ; https://www.carbon-transparency.org/solutions/evalue8-sustainability ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0070,LCA-SW-0070,Fitsol,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Fitsol Limited,,Fitsol Limited (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://fitsol.green/,WBCSD PACT Network solution directory,https://fitsol.green/ ; https://www.carbon-transparency.org/solutions/fitsol ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0071,LCA-SW-0071,Formist,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,WeCarbon Technology Ltd,,WeCarbon Technology Ltd (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://formist.ai,WBCSD PACT Network solution directory,https://formist.ai ; https://www.carbon-transparency.org/solutions/formist ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0072,LCA-SW-0072,Fujitsu Track and Trust,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; traceability,,,Qualifying PCF/LCA product or interoperability solution,,Fujitsu Limited,,Fujitsu Limited (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.fujitsu.com/global/about/resources/news/press-releases/2023/0913-01.html,WBCSD PACT Network solution directory,https://www.fujitsu.com/global/about/resources/news/press-releases/2023/0913-01.html ; https://www.carbon-transparency.org/solutions/fujitsu-track-and-trust ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0073,LCA-SW-0073,GIC — Green Industry Cloud,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,Wormhole Technologies Inc.,,Wormhole Technologies Inc. (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",http://wmholetech.com/en/index_en.html,WBCSD PACT Network solution directory,http://wmholetech.com/en/index_en.html ; https://www.carbon-transparency.org/solutions/gic-green-industry-cloud ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0074,LCA-SW-0074,GreenStitch.io,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,GreenStitch Technologies PVT LTD,,GreenStitch Technologies PVT LTD (developer),1,0,Evidence-linked actors resolved,Textile and apparel,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://greenstitch.io/,WBCSD PACT Network solution directory,https://greenstitch.io/ ; https://www.carbon-transparency.org/solutions/greenstitch-io ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0075,LCA-SW-0075,HowGood Latis,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,HowGood,,HowGood (developer),1,0,Evidence-linked actors resolved,"Food, agriculture and consumer products",Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://howgood.com,WBCSD PACT Network solution directory,https://howgood.com ; https://www.carbon-transparency.org/solutions/howgood ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0076,LCA-SW-0076,Mattermaps,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Supplier and product data management,PCF calculation; PCF exchange; supplier data collection,,PCF data exchange / interoperability,Qualifying PCF/LCA product or interoperability solution,,Makersite GmbH,,Makersite GmbH (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.mattermaps.com/,WBCSD PACT Network solution directory,https://www.mattermaps.com/ ; https://www.carbon-transparency.org/solutions/mattermaps ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0077,LCA-SW-0077,Muir Platform,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Supplier and product data management,PCF calculation; PCF exchange; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,Muir AI,,Muir AI (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.muir.ai/,WBCSD PACT Network solution directory,https://www.muir.ai/ ; https://www.carbon-transparency.org/solutions/muir-platform ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0078,LCA-SW-0078,Nuoa.io,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,,,No actor identity publicly resolved in this review,0,1,No resolved actor identity,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://nuoa.io,WBCSD PACT Network solution directory,https://nuoa.io ; https://www.carbon-transparency.org/solutions/nuoa-io ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0079,LCA-SW-0079,Optchain Carbon Tracking,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,LCA; PCF calculation; CCF calculation; traceability,,,Qualifying PCF/LCA product or interoperability solution,,Optel Group,,Optel Group (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.optelgroup.com/,WBCSD PACT Network solution directory,https://www.optelgroup.com/ ; https://www.carbon-transparency.org/solutions/optchain-carbon-tracking ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0080,LCA-SW-0080,Planet FWD,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,PlanetFWD Inc.,,PlanetFWD Inc. (developer),1,0,Evidence-linked actors resolved,Food and consumer products,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.planetfwd.com,WBCSD PACT Network solution directory,https://www.planetfwd.com ; https://www.carbon-transparency.org/solutions/planet-fwd ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0081,LCA-SW-0081,SAP Sustainability Data Exchange,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability,PCF exchange,,PCF data exchange / interoperability,Qualifying PCF/LCA product or interoperability solution,,SAP,,SAP (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.sap.com/products/business-network/sustainability-data-exchange.html,WBCSD PACT Network solution directory,https://www.sap.com/products/business-network/sustainability-data-exchange.html ; https://www.carbon-transparency.org/solutions/sap-sustainability-data-exchange ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0082,LCA-SW-0082,Sluicebox,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,"Sluicebox, Inc.",,"Sluicebox, Inc. (developer)",1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.sluicebox.ai/,WBCSD PACT Network solution directory,https://www.sluicebox.ai/ ; https://www.carbon-transparency.org/solutions/sluicebox ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0083,LCA-SW-0083,SmartTradzt Carbon Emission,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Smart Tradzt,,Smart Tradzt (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.smarttradzt.com/carbon-emission/,WBCSD PACT Network solution directory,https://www.smarttradzt.com/carbon-emission/ ; https://www.carbon-transparency.org/solutions/smarttradzt ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0084,LCA-SW-0084,Terralytiq,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,,,No actor identity publicly resolved in this review,0,1,No resolved actor identity,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.terralytiq.com/,WBCSD PACT Network solution directory,https://www.terralytiq.com/ ; https://www.carbon-transparency.org/solutions/terralytiq ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0085,LCA-SW-0085,Terrascope,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Terrascope Pte. Ltd.,,Terrascope Pte. Ltd. (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.terrascope.com/,WBCSD PACT Network solution directory,https://www.terrascope.com/ ; https://www.carbon-transparency.org/solutions/terrascope ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0086,LCA-SW-0086,TrueCarbon,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting,PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,Cirrus Nexus,,Cirrus Nexus (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.cirrus-nexus.com/truecarbon,WBCSD PACT Network solution directory,https://www.cirrus-nexus.com/truecarbon ; https://www.carbon-transparency.org/solutions/truecarbon-tm ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0087,LCA-SW-0087,TT Green,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; supplier data collection,,,Qualifying PCF/LCA product or interoperability solution,,InnoBlock Technology Ltd,,InnoBlock Technology Ltd (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.tt-green.com,WBCSD PACT Network solution directory,https://www.tt-green.com ; https://www.carbon-transparency.org/solutions/tt-green ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0088,LCA-SW-0088,Variable,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Corporate carbon accounting,LCA; PCF calculation; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,,,,No actor identity publicly resolved in this review,0,1,No resolved actor identity,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://variable.co/,WBCSD PACT Network solution directory,https://variable.co/ ; https://www.carbon-transparency.org/solutions/variable ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0089,LCA-SW-0089,YuzeData,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Supplier and product data management,PCF calculation; CCF calculation; traceability,,,Qualifying PCF/LCA product or interoperability solution,,YuzeData Inc.,,YuzeData Inc. (developer),1,0,Evidence-linked actors resolved,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.yuzedata.com/,WBCSD PACT Network solution directory,https://www.yuzedata.com/ ; https://www.carbon-transparency.org/solutions/yuzedata ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0090,LCA-SW-0090,ZeroTwentyFifty,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability,PCF calculation; PCF exchange,,,Qualifying PCF/LCA product or interoperability solution,,,,No actor identity publicly resolved in this review,0,1,No resolved actor identity,Multi-sector or source-listed industries; exact scope not fully reviewed,Not publicly confirmed,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,,Listed in WBCSD PACT Network solution directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.zerotwentyfifty.com/solutions/zerotwentyfifty,WBCSD PACT Network solution directory,https://www.zerotwentyfifty.com/solutions/zerotwentyfifty ; https://www.carbon-transparency.org/solutions/zerotwentyfifty ; https://www.carbon-transparency.org/network,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0091,LCA-SW-0091,Air.e HdC,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting; Life cycle assessment modelling,PCF calculation; CCF calculation; life-cycle approach,,PCF calculation / carbon management,Qualifying PCF/LCA product or interoperability solution,,Solid Forest,,Solid Forest (developer),1,0,Evidence-linked actors resolved,Multi-sector,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.solidforest.com/,ecoinvent software tools partner directory,https://www.solidforest.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0092,LCA-SW-0092,Air.e LCA,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling,LCA,,Professional LCA modelling,Qualifying PCF/LCA product or interoperability solution,,Solid Forest,,Solid Forest (developer),1,0,Evidence-linked actors resolved,Multi-sector,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.solidforest.com/,ecoinvent software tools partner directory,https://www.solidforest.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0093,LCA-SW-0093,Ansys Granta,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models; Eco-design and scenario analysis,environmental impact assessment; materials data; eco-design,,LCA / eco-design support,Qualifying PCF/LCA product or interoperability solution,,Ansys,,Ansys (developer),1,0,Evidence-linked actors resolved,Materials and product design,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.ansys.com/products/materials,ecoinvent software tools partner directory,https://www.ansys.com/products/materials ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0094,LCA-SW-0094,aPriori Manufacturing Insights Platform,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Eco-design and scenario analysis,product emissions estimation; digital twin; eco-design,,Product footprint / eco-design,Qualifying PCF/LCA product or interoperability solution,,aPriori,,aPriori (developer),1,0,Evidence-linked actors resolved,Manufacturing,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.apriori.com/,ecoinvent software tools partner directory,https://www.apriori.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0095,LCA-SW-0095,ASKOR,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Eco-design and scenario analysis; API and enterprise integration,LCA; eco-design; ERP / PLM integration,,LCA / eco-design support,Qualifying PCF/LCA product or interoperability solution,,EVEA,,EVEA (developer),1,0,Evidence-linked actors resolved,Multi-sector,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://askor.eco/,ecoinvent software tools partner directory,https://askor.eco/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0096,LCA-SW-0096,BEDEC Sustainability,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Design and planning workflow,life-cycle impact assessment; construction project analysis,,Sector LCA / footprint tool,Qualifying PCF/LCA product or interoperability solution,,ITeC,,ITeC (developer),1,0,Evidence-linked actors resolved,Construction,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://en.itec.cat/,ecoinvent software tools partner directory,https://en.itec.cat/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0097,LCA-SW-0097,Ccloud,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; Corporate carbon accounting,PCF calculation; CCF calculation,,PCF calculation / carbon management,Qualifying PCF/LCA product or interoperability solution,,Carbonstop,,Carbonstop (developer),1,0,Evidence-linked actors resolved,Multi-sector,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://www.carbonstop.com/en,ecoinvent software tools partner directory,https://www.carbonstop.com/en ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0098,LCA-SW-0098,EarthSmart,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling,LCA,,Professional LCA modelling,Qualifying PCF/LCA product or interoperability solution,,EarthShift Global,,EarthShift Global (developer),1,0,Evidence-linked actors resolved,Multi-sector,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",https://earthshiftglobal.com/earthsmart,ecoinvent software tools partner directory,https://earthshiftglobal.com/earthsmart ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0099,LCA-SW-0099,eBalance,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation,LCA; PCF calculation,,Professional LCA modelling,Qualifying PCF/LCA product or interoperability solution,,IKE Environmental Technology,,IKE Environmental Technology (developer),1,0,Evidence-linked actors resolved,Multi-sector; China-focused use cases,Not publicly confirmed,,,Listed in ecoinvent software tools directory at the evidence cut-off,Listed in ecoinvent software tools partner directory or an official product page at the evidence cut-off,"Public product information; software access, price, and account requirements were not tested",http://www.ike-global.com/,ecoinvent software tools partner directory,http://www.ike-global.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
