distribution_id,database_asset_id,database_name,database_release,distribution_package,schema_profile,schema_version,access_route,access_category,licence_rights,registration,fee,compatible_software,software_version,direction,claimed_tested_status,evidence_url,evidence_as_of,known_constraint_next_test
DST-0097,LCA-DB-0052,MexiLCA,Live platform; around 250 connected datasets stated,MexiLCA ILCD-aligned package,ILCD,Live platform,https://ciclodevida.mx/,"Free access with registration, use restrictions, or third-party dependency",Non-commercial use with attribution; dataset-level licences are stated to be recorded; Redistribution: Restricted by non-commercial and dataset-level terms,Required or account-gated,No fee stated for permitted non-commercial use,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility; exact package not accessed,https://ciclodevida.mx/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0098,LCA-DB-0052,MexiLCA,Live platform; around 250 connected datasets stated,MexiLCA ILCD-aligned package,ILCD,Live platform,https://ciclodevida.mx/,"Free access with registration, use restrictions, or third-party dependency",Non-commercial use with attribution; dataset-level licences are stated to be recorded; Redistribution: Restricted by non-commercial and dataset-level terms,Required or account-gated,No fee stated for permitted non-commercial use,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility; conversion path not published,https://ciclodevida.mx/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0099,LCA-DB-0052,MexiLCA,Live platform; around 250 connected datasets stated,MexiLCA ILCD-aligned package,ILCD,Live platform,https://ciclodevida.mx/,"Free access with registration, use restrictions, or third-party dependency",Non-commercial use with attribution; dataset-level licences are stated to be recorded; Redistribution: Restricted by non-commercial and dataset-level terms,Required or account-gated,No fee stated for permitted non-commercial use,Brightway,Not publicly confirmed,Database to consumer software/tool,Provider-stated compatibility; conversion path not published,https://ciclodevida.mx/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0100,LCA-DB-0053,EUROFER Stainless LCI Data,Current request-based dataset; page updated 2026-07-06,EUROFER/worldstainless LCI data package,Not publicly confirmed,Not publicly confirmed,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,Request/membership-mediated,Use conditions assigned through the request process; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,LCA software not publicly specified,Not publicly confirmed,Database to consumer software/tool,Official request route; format not public,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0101,LCA-DB-0009,Banca Dati Italiana LCA,Continuously updated node,Italian LCDN data-node package,ILCD / eILCD node package,Dataset-specific,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA,Public/free access; licence or redistribution unclear or mixed,Node EULA; sampled dataset metadata states ODbL/free use; Redistribution: Sampled record is open-licensed; collection-wide rights require record-level confirmation,Required or account-gated,No fee stated for at least one access route,ILCD-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Official node model; exact package/version varies,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0102,LCA-PLT-0002,HESTIA Data Platform,Public release v1.0; newer v1.2 under delayed open release,HESTIA CSV download,CSV,Public release,https://www.hestia.earth/,Open licence confirmed for at least one official distribution,CC BY 4.0 for public data; Redistribution: Permitted under CC BY 4.0 with attribution,Not required for public data,No fee for public data,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official open download,https://www.hestia.earth/guide/guide-accessing-data-downloading-data,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0103,LCA-PLT-0002,HESTIA Data Platform,Public release v1.0; newer v1.2 under delayed open release,HESTIA Excel download,XLSX,Public release,https://www.hestia.earth/,Open licence confirmed for at least one official distribution,CC BY 4.0 for public data; Redistribution: Permitted under CC BY 4.0 with attribution,Not required for public data,No fee for public data,Spreadsheet software,Not publicly confirmed,Database to consumer software/tool,Official open download,https://www.hestia.earth/guide/guide-accessing-data-downloading-data,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0104,LCA-PLT-0002,HESTIA Data Platform,Public release v1.0; newer v1.2 under delayed open release,HESTIA JSON-LD download,JSON-LD / HESTIA schema,Public release,https://www.hestia.earth/,Open licence confirmed for at least one official distribution,CC BY 4.0 for public data; Redistribution: Permitted under CC BY 4.0 with attribution,Not required for public data,No fee for public data,JSON-LD tools,Not publicly confirmed,Database to consumer software/tool,Official open download,https://www.hestia.earth/guide/guide-accessing-data-downloading-data,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0105,LCA-PLT-0002,HESTIA Data Platform,Public release v1.0; newer v1.2 under delayed open release,HESTIA public API,HESTIA API / JSON-LD,Public release,https://www.hestia.earth/,Open licence confirmed for at least one official distribution,CC BY 4.0 for public data; Redistribution: Permitted under CC BY 4.0 with attribution,Not required for public data,No fee for public data,API clients,Not publicly confirmed,Database to consumer software/tool,Official open API; no authentication for public data,https://www.hestia.earth/guide/guide-accessing-data-downloading-data,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0106,LCA-REP-0004,International EPD System Data Hub,Public node running soda4LCA 7.23.6 at access date,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://data.environdec.com/index.xhtml,Public/free access; licence or redistribution unclear or mixed,International EPD System general terms and declaration-level rights; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,ILCD+EPD-oriented digital records,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://data.environdec.com/index.xhtml | https://www.environdec.com/resources/epd-resources-hub | https://www.environdec.com/service-agreement,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0107,LCA-REP-0005,Textile Exchange Life Cycle Inventory Library,Live library launched in 2024,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://textileexchange.org/lci-library/,Public/free access; licence or redistribution unclear or mixed,Described as open-source/free use; dataset-level source permissions and terms require checking; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,Downloadable/extractable inventory data; exact current export schema requires capture,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://textileexchange.org/lci-library/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0108,LCA-PLT-0005,GBDI Open Building Data Platform,Live platform launched 2025,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.gbdi.io/platform,Public/free access; licence or redistribution unclear or mixed,Open-source/open-data orientation; platform terms apply; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,openBDF and API integrations,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.gbdi.io/platform | https://www.gbdi.io/about,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0109,LCA-REP-0007,AssessCCUS,Live 2026 repository,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://assessccus.globalco2initiative.org/,Public/free access; licence or redistribution unclear or mixed,Item-specific publication and tool licences; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Spreadsheet templates and external databases,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://assessccus.globalco2initiative.org/ | https://assessccus.globalco2initiative.org/contact/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0110,LCA-REP-0009,product impact,Live beta platform,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://productimpact.info/,Public/free access; licence or redistribution unclear or mixed,Source EPD/PCR and platform terms apply; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Digital schemas are described in a pilot; public export/API not confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://productimpact.info/ | https://productimpact.info/case-study/rain-jacket | https://productimpact.info/terms-of-use.pdf,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0111,LCA-REP-0010,EPD Australasia EPD Database,Live database,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://epd-australasia.com/epd-search/,Public/free access; licence or redistribution unclear or mixed,EPD and website terms; declaration-level rights vary; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://epd-australasia.com/epd-search/ | https://epd-australasia.com/about-us/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0112,LCA-REP-0011,EPDItaly EPD Database,Live programme/database,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.epditaly.it/,Public/free access; licence or redistribution unclear or mixed,EPD/programme-specific terms; declaration rights remain with their owners; Redistribution: Declaration/programme terms apply,Not required to browse published EPDs,No fee for public browsing; publication services are fee-based,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.epditaly.it/ | https://www.epditaly.it/en/contatti/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0113,LCA-DB-0054,SICV Brasil,Live soda4LCA node; more than 200 inventories,Current public/provider distribution or access route,ILCD data model,Live soda4LCA node; more than 200 inventories,https://sicv.acv.ibict.br/,Public/free access; licence or redistribution unclear or mixed,Public/open-science access stated; exact collection-wide reuse licence not captured; Redistribution: Not publicly confirmed,No registration stated for public downloads,No fee,ILCD-supporting LCA software; exact release pairs not independently tested,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://www.gov.br/ibict/pt-br/central-de-conteudos/noticias/2025/dezembro/cotea-ibict-apresenta-retrospectiva-2025-com-avancos-na-gestao-da-informacao-para-sustentabilidade-e-economia-circular | https://www.gov.br/ibict/pt-br/central-de-conteudos/noticias/2023/maio/sicv-brasil-amplia-sua-base-de-inventarios-do-ciclo-de-vida | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0114,LCA-DB-0055,Chinese Life Cycle Database,Current CLCD service line,Current public/provider distribution or access route,CLCD native model; current public provider page does not state the schema revision,Current CLCD service line,https://www.ike-global.com/,"Free access with registration, use restrictions, or third-party dependency",Provider/platform terms; no open-data licence identified; Redistribution: Not publicly confirmed,Account/platform use may be required,Free and paid service layers are described; exact CLCD package fee not confirmed,eBalance and eFootprint/WebLCA provider ecosystem,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.ike-global.com/ | https://v2.efootprint.net/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0115,LCA-DB-0056,Korea National Life Cycle Inventory Database,Current integrated national LCI database,Current public/provider distribution or access route,Not publicly confirmed,Current integrated national LCI database,https://www.keiti.re.kr/site/keiti/02/10202100000002023101610.jsp,"Free access with registration, use restrictions, or third-party dependency",Korean LCI DB and characterization factors may not be used commercially; Redistribution: Non-commercial restriction; further rights not publicly confirmed,EcoSquare account requirements not tested,No commercial use; fee not publicly confirmed,LCA software is used to link upstream/downstream flows; exact software and format pair not published on the reviewed official page,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.keiti.re.kr/site/keiti/02/10202100000002023101610.jsp,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0116,LCA-DB-0057,Thai National Life Cycle Inventory Database,Current national database service,Current public/provider distribution or access route,ILCD data model,Current national database service,https://www.nstda-tiis.or.th/,Public/free access; licence or redistribution unclear or mixed,No collection-wide open-data licence captured; Redistribution: Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,ILCD-supporting software; official sector documentation also references LCA software use without a public version matrix,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://www.nstda.or.th/en/news/news-years-2019/mtec-nstda-and-pollution-control-department-to-promote-green-public-procurement.html | https://www.nstda.or.th/home/knowledge_post/nstda-tiis/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0117,LCA-DB-0058,Malaysia Life Cycle Inventory Database,Current MYLCID web service,Current public/provider distribution or access route,ILCD data model,Current MYLCID web service,https://mylcid.sirim.my/,Commercial/proprietary,Commercial SIRIM terms; Redistribution: Not publicly confirmed,Contact/purchase required for complete data,Purchase required for complete LCI datasets,ILCD-supporting LCA software; exact current software-version pair not public,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://mylcid.sirim.my/ | https://www.mosti.gov.my/berita/pengkalan-data-inventori-kitaran-hayat-kebangsaan-my-lcid-dibangunkan-bagi-menilai-kesan-kitaran-hayat-produk-dan-perkhidmatan/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0118,LCA-DB-0059,PeruLCA,Current public website and dataset packages,Current public/provider distribution or access route,ecoSpold2 data model,Current public website and dataset packages,https://perulca.com/,Open licence confirmed for at least one official distribution,ecoinvent Association SRI Open Data License applies to identified project datasets; Redistribution: Subject to SRI Open Data License,No registration stated for the public project files reviewed,No fee stated,Software supporting ecoSpold2; exact package/software version pair not tested,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://www.lifecycleinitiative.org/peru-lca-database-launched/ | https://perulca.com/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0119,LCA-DB-0060,CicloData,Live public platform; 49 datasets,Current public/provider distribution or access route,Not publicly confirmed,Live public platform; 49 datasets,https://ciclodata.cl/,"Free access with registration, use restrictions, or third-party dependency",Terms page is still under preparation; no operative open-data licence text captured; Redistribution: Not publicly confirmed,Required for download; not performed,No fee stated,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://ciclodata.cl/ | https://ciclodata.cl/historia/ | https://ciclodata.cl/terminos-de-uso/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0120,LCA-DB-0061,Quebec Life Cycle Inventory Database,Quebec datasets distributed within ecoinvent,Current public/provider distribution or access route,ecoinvent / ecoSpold2 data model,Quebec datasets distributed within ecoinvent,https://ciraig.org/index.php/project/quebec-life-cycle-inventory-database/,Commercial/proprietary,ecoinvent licence; Redistribution: ecoinvent licence restrictions,ecoinvent account/licence required,Commercial ecoinvent licence,Software supporting licensed ecoinvent distributions,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://ciraig.org/index.php/project/quebec-life-cycle-inventory-database/ | https://www.environnement.gouv.qc.ca/infuseur/communique.asp?no=3037 | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0121,LCA-DB-0062,International Aluminium Institute Life Cycle Inventory Data,2019 LCI data v3,Current public/provider distribution or access route,Provider spreadsheet inventory and GaBi-based modelling; no public standard exchange schema stated,2019 LCI data v3,https://international-aluminium.org/resources/2019-life-cycle-inventory-lci-data-and-environmental-metrics/,Public/free access; licence or redistribution unclear or mixed,Publication/data terms not explicitly captured; Redistribution: Not publicly confirmed,No registration stated for the public attachments,No fee stated,Spreadsheet use; provider states GaBi background data/model was used,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://international-aluminium.org/resources/2019-life-cycle-inventory-lci-data-and-environmental-metrics/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0122,LCA-DB-0063,Nickel Institute Life Cycle Data,2024 report / 2021 reference-year datasets,Current public/provider distribution or access route,Not publicly confirmed,2024 report / 2021 reference-year datasets,https://nickelinstitute.org/en/sustainability/nickel-life-cycle-management/nickel-life-cycle-data,Public/free access; licence or redistribution unclear or mixed,Reuse and redistribution terms not publicly confirmed; Redistribution: Not publicly confirmed,No registration stated for public files; contact required for full report,No fee stated,Nickel Institute states that its data appear in major databases including GaBi and ELCD,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://nickelinstitute.org/en/sustainability/nickel-life-cycle-management/nickel-life-cycle-data,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0123,LCA-DB-0064,International Zinc Association Life Cycle Inventory Data,2023 LCA update based on 2021 industry data,Current public/provider distribution or access route,Host-database-specific,2023 LCA update based on 2021 industry data,https://www.zinc.org/life-cycle-assessment/,Public/free access; licence or redistribution unclear or mixed,Host-database and publication-specific terms; Redistribution: Not publicly confirmed,Host-database conditions vary,Public report; host-database fees/terms vary,"ecoinvent-, GaBi- and EU PEF-compatible through host distributions",Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.zinc.org/life-cycle-assessment/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0124,LCA-DB-0065,FEVE Container Glass Life Cycle Inventories,2019 production-data LCI set,Current public/provider distribution or access route,PEF-methodology inventory; exact exchange schema not stated publicly,2019 production-data LCI set,https://feve.org/glass-industry-positions/life-cycle-assessment/,Request/membership-mediated,Use and redistribution terms assigned through the request route; Redistribution: Not publicly confirmed,Request form required for full LCI,Not publicly confirmed,General LCA use stated; exact software/version pair not public,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://feve.org/glass-industry-positions/life-cycle-assessment/ | https://feve.org/new-life-cycle-assessment-proves-industry-success-reducing-environmental-footprint/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0125,LCA-DB-0066,Eurobitume Life Cycle Inventory,LCA 4.0,Current public/provider distribution or access route,ILCD data model,LCA 4.0,https://eurobitume.eu/bitumen-life-cycle-assessment/,Request/membership-mediated,Use terms not publicly confirmed before request; Redistribution: Not publicly confirmed,Request form required for the complete LCI,Not publicly confirmed,Software supporting ILCD; model built in Sphera LCA for Experts with MLC 2024.1,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://eurobitume.eu/bitumen-life-cycle-assessment/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0126,LCA-DB-0067,CORRIM Forestry and Forest Products LCI,Current library and Federal LCA Commons repository,Current public/provider distribution or access route,openLCA/Federal LCA Commons data model,Current library and Federal LCA Commons repository,https://corrim.org/lcas-on-wood-products-library/,Public/free access; licence or redistribution unclear or mixed,Federal LCA Commons states public/not restricted; dataset intended-use fields apply; Redistribution: Dataset-specific intended-use terms,No registration for public repository downloads,No fee,openLCA 1.x/2.x; other JSON-LD consumers require validation,Not publicly confirmed,Database to consumer software/tool,Public/authoritative programme evidence identifies the format family; exact release–software pair has not been independently tested,https://corrim.org/lcas-on-wood-products-library/ | https://www.lcacommons.gov/lca-collaboration/CORRIM/Forestry_and_forest_products,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0127,LCA-DB-0068,International Copper Association Life Cycle Inventory Data,2018 Copper Environmental Profile publication,Current public/provider distribution or access route,GaBi-modelled inventory; no public exchange schema stated,2018 Copper Environmental Profile publication,https://copperalliance.org/wp-content/uploads/2021/08/ICA-EnvironmentalProfileHESD-201803-FINAL-LOWRES-1.pdf,Public/free access; licence or redistribution unclear or mixed,Publication rights; standalone dataset rights not confirmed; Redistribution: Not publicly confirmed,No registration for the public report,No fee for public report,Provider states GaBi 2014 background databases were used,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://copperalliance.org/wp-content/uploads/2021/08/ICA-EnvironmentalProfileHESD-201803-FINAL-LOWRES-1.pdf,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
DST-0128,LCA-DB-0069,GEMIS Model and Database,GEMIS 5.2,Current public/provider distribution or access route,Native GEMIS relational/process-chain model,GEMIS 5.2,https://iinas.org/downloads/gemis-downloads/,Open licence confirmed for at least one official distribution,Creative Commons terms stated by IINAS; exact CC variant should be captured from the package; Redistribution: Subject to the package's Creative Commons terms,No registration required; optional email registration for update notices,No fee,Native GEMIS software; data may be viewed/exported through GEMIS and related ProBas web routes,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://iinas.org/downloads/gemis-downloads/ | https://iinas.org/en/work/gemis/,2026-08-22,"Capture/download an unrestricted public package where available, then test import, validation and round-trip fidelity against explicit software releases."
